participant_id	Slackline_preexperience
sub-82KK02101	2
sub-82KK02102	1
sub-82KK02103	1
sub-82KK02104	2
sub-82KK02105	2
sub-82KK02106	1
sub-82KK02107	2
sub-82KK02108	1
sub-82KK02109	2
sub-82KK02112	1
sub-82KK02213	2
sub-82KK02214	2
sub-82KK02215	1
sub-82KK02217	2
sub-82KK02218	1
sub-82KK02220	1
sub-82KK02221	2
sub-82KK02222	1
sub-82KK02223	2
sub-82KK02224	2
sub-82KK02325	3
sub-82KK02326	2
sub-82KK02327	2
sub-82KK02329	1
sub-82KK02331	5
sub-82KK02332	3
sub-82KK02333	3
sub-82KK02334	3
sub-82KK02335	5
sub-82KK02336	5
sub-82KK02337	2
sub-82KK02338	2
sub-82KK02339	2
sub-82KK02340	3
sub-82KK02341	1
sub-82KK02342	2
sub-82KK02343	4
sub-82KK02344	4
sub-82KK02445	4
sub-82KK02446	2
sub-82KK02447	3
sub-82KK02448	3
sub-82KK02449	4
sub-82KK02450	1
sub-82KK02451	1
sub-82KK02452	5
sub-82KK02453	2
sub-82KK02454	4
sub-82KK02455	2
sub-82KK02456	2
sub-82KK02457	1
sub-82KK02459	3
sub-82KK02460	2
